condition,giveFeedback,activityFactor,totalCorrect,totalIntrusors
content_noFeedback,FALSE,content,15,3
general_noFeedback,FALSE,general,12,3
general_feedback,TRUE,general,11,2
content_feedback,TRUE,content,12,3
content_noFeedback,FALSE,content,12,3
content_feedback,TRUE,content,12,3
content_noFeedback,FALSE,content,14,3
content_feedback,TRUE,content,15,2
general_noFeedback,FALSE,general,5,4
general_noFeedback,FALSE,general,14,4
general_noFeedback,FALSE,general,13,3
general_feedback,TRUE,general,14,4
general_feedback,TRUE,general,10,4
general_noFeedback,FALSE,general,14,4
general_noFeedback,FALSE,general,8,6
content_noFeedback,FALSE,content,12,3
general_feedback,TRUE,general,14,2
content_feedback,TRUE,content,12,3
general_feedback,TRUE,general,11,6
content_noFeedback,FALSE,content,18,1
content_noFeedback,FALSE,content,13,3
content_noFeedback,FALSE,content,10,3
general_noFeedback,FALSE,general,14,2
general_noFeedback,FALSE,general,10,1
content_feedback,TRUE,content,13,4
general_noFeedback,FALSE,general,11,4
content_noFeedback,FALSE,content,14,5
general_feedback,TRUE,general,15,2
general_feedback,TRUE,general,10,3
content_feedback,TRUE,content,16,3
general_noFeedback,FALSE,general,7,7
content_noFeedback,FALSE,content,12,4
content_noFeedback,FALSE,content,12,6
content_noFeedback,FALSE,content,9,4
content_noFeedback,FALSE,content,15,2
content_feedback,TRUE,content,16,4
content_noFeedback,FALSE,content,7,6
general_feedback,TRUE,general,8,7
general_noFeedback,FALSE,general,14,2
general_feedback,TRUE,general,6,6
general_noFeedback,FALSE,general,13,4
general_noFeedback,FALSE,general,12,2
general_noFeedback,FALSE,general,10,3
content_noFeedback,FALSE,content,17,3
general_feedback,TRUE,general,12,6
content_feedback,TRUE,content,18,2
general_feedback,TRUE,general,8,6
content_feedback,TRUE,content,16,2
content_feedback,TRUE,content,13,3
general_feedback,TRUE,general,10,3
general_feedback,TRUE,general,9,2
general_feedback,TRUE,general,10,6
general_noFeedback,FALSE,general,7,7
content_noFeedback,FALSE,content,12,2
general_feedback,TRUE,general,16,2
content_feedback,TRUE,content,10,4
general_feedback,TRUE,general,12,2
general_feedback,TRUE,general,12,4
general_feedback,TRUE,general,11,5
content_feedback,TRUE,content,9,6
general_feedback,TRUE,general,9,4
general_feedback,TRUE,general,13,4
content_feedback,TRUE,content,17,1
general_feedback,TRUE,general,1,6
general_feedback,TRUE,general,9,7
content_feedback,TRUE,content,14,1
general_noFeedback,FALSE,general,13,4
content_noFeedback,FALSE,content,19,0
content_noFeedback,FALSE,content,10,5
content_feedback,TRUE,content,13,4
general_noFeedback,FALSE,general,6,5
general_feedback,TRUE,general,12,5
content_feedback,TRUE,content,17,0
general_feedback,TRUE,general,13,2
content_noFeedback,FALSE,content,16,3
general_noFeedback,FALSE,general,14,5
general_noFeedback,FALSE,general,9,5
general_noFeedback,FALSE,general,8,5
general_noFeedback,FALSE,general,16,2
general_feedback,TRUE,general,13,3
content_noFeedback,FALSE,content,10,5
general_feedback,TRUE,general,17,0
general_feedback,TRUE,general,10,4
content_feedback,TRUE,content,10,4
content_feedback,TRUE,content,2,6
general_feedback,TRUE,general,9,6
content_feedback,TRUE,content,13,4
content_feedback,TRUE,content,10,5
content_feedback,TRUE,content,11,6
content_noFeedback,FALSE,content,12,5
content_noFeedback,FALSE,content,16,2
general_noFeedback,FALSE,general,13,4
general_noFeedback,FALSE,general,13,4
content_noFeedback,FALSE,content,12,4
content_feedback,TRUE,content,9,6
general_noFeedback,FALSE,general,13,3
general_noFeedback,FALSE,general,10,4
general_noFeedback,FALSE,general,10,5
general_noFeedback,FALSE,general,10,5
content_feedback,TRUE,content,13,3
general_feedback,TRUE,general,9,5
content_feedback,TRUE,content,12,1
general_noFeedback,FALSE,general,11,5
content_noFeedback,FALSE,content,9,7
content_noFeedback,FALSE,content,11,5
general_feedback,TRUE,general,15,1
content_feedback,TRUE,content,14,3
content_feedback,TRUE,content,13,3
content_feedback,TRUE,content,19,0
content_feedback,TRUE,content,17,2
content_feedback,TRUE,content,18,2
general_feedback,TRUE,general,12,4
content_noFeedback,FALSE,content,7,5
content_feedback,TRUE,content,15,2
general_noFeedback,FALSE,general,8,6
general_feedback,TRUE,general,17,3
content_feedback,TRUE,content,11,4
general_noFeedback,FALSE,general,9,7
content_feedback,TRUE,content,16,3
content_noFeedback,FALSE,content,14,2
content_feedback,TRUE,content,9,7
content_feedback,TRUE,content,9,4
content_feedback,TRUE,content,14,3
content_noFeedback,FALSE,content,12,3
content_noFeedback,FALSE,content,14,4
general_feedback,TRUE,general,7,7
content_noFeedback,FALSE,content,16,3
general_feedback,TRUE,general,15,2
content_feedback,TRUE,content,16,3
content_feedback,TRUE,content,14,2
general_noFeedback,FALSE,general,8,5
general_noFeedback,FALSE,general,10,5
general_feedback,TRUE,general,9,8
content_feedback,TRUE,content,13,3
general_noFeedback,FALSE,general,9,3
content_noFeedback,FALSE,content,15,0
content_feedback,TRUE,content,12,5
content_noFeedback,FALSE,content,11,3
general_feedback,TRUE,general,9,7
content_noFeedback,FALSE,content,14,3
content_noFeedback,FALSE,content,15,2
content_noFeedback,FALSE,content,18,1
content_noFeedback,FALSE,content,14,2
general_noFeedback,FALSE,general,11,9
general_noFeedback,FALSE,general,10,8
general_noFeedback,FALSE,general,8,7
general_feedback,TRUE,general,9,5
general_feedback,TRUE,general,4,7
content_noFeedback,FALSE,content,10,2
general_noFeedback,FALSE,general,9,3
content_noFeedback,FALSE,content,14,3
general_noFeedback,FALSE,general,5,7
content_noFeedback,FALSE,content,12,3
content_noFeedback,FALSE,content,9,5
general_noFeedback,FALSE,general,15,4
content_noFeedback,FALSE,content,10,5
content_feedback,TRUE,content,13,2
general_feedback,TRUE,general,14,2
general_feedback,TRUE,general,14,3
content_noFeedback,FALSE,content,17,2
content_noFeedback,FALSE,content,8,7
content_feedback,TRUE,content,16,1
general_noFeedback,FALSE,general,7,7
