when,giveFeedback,condition,timerStart,readingTime,readingTimeEstimate,kolikoProcitaoText1,kolikoProcitaoText2,kolikoProcitaoText3,readingDeficits,which,readingDifficultiesThisExp,practiceForActivity_1,practiceForActivity_2,practiceForActivity_3,practiceForActivity_4,practiceForFinal_1,practiceForFinal_2,practiceForFinal_3,practiceForFinal_4,genKnowledge_1_1,genKnowledge_1_2,genKnowledge_1_3,genKnowledge_1_4,genKnowledge_1_5,genKnowledge_1_6,genKnowledge_1_7,genKnowledge_1_8,genKnowledge_1_9,genKnowledge_1_10,genKnowledge_2_1,genKnowledge_2_2,genKnowledge_2_3,genKnowledge_2_4,genKnowledge_2_5,genKnowledge_2_6,genKnowledge_2_7,genKnowledge_2_8,genKnowledge_2_9,genKnowledge_2_10,content_1_1,content_1_2,content_1_3,content_1_4,content_1_5,content_1_6,content_1_7,content_1_8,content_1_9,content_1_10,content_2_1,content_2_2,content_2_3,content_2_4,content_2_5,content_2_6,content_2_7,content_2_8,content_2_9,content_2_10,content_3_1,content_3_2,content_3_3,content_3_4,content_3_5,content_3_6,content_3_7,content_3_8,content_3_9,content_3_10,content_3_11,content_3_12,content_3_13,content_3_14,content_3_15,content_3_16,content_3_17,content_3_18,content_3_19,content_3_20,isIntrusor_2_1,isIntrusor_2_2,isIntrusor_2_3,isIntrusor_2_4,isIntrusor_2_5,isIntrusor_2_6,isIntrusor_2_7,isIntrusor_2_8,isIntrusor_2_9,isIntrusor_2_10,isIntrusor_3_1,isIntrusor_3_2,isIntrusor_3_3,isIntrusor_3_4,isIntrusor_3_5,isIntrusor_3_6,isIntrusor_3_7,isIntrusor_3_8,isIntrusor_3_9,isIntrusor_3_10,isIntrusor_3_11,isIntrusor_3_12,isIntrusor_3_13,isIntrusor_3_14,isIntrusor_3_15,isIntrusor_3_16,isIntrusor_3_17,isIntrusor_3_18,isIntrusor_3_19,isIntrusor_3_20,totalCorrect,totalIntrusors,activityFactor
2019-02-12T15:02:16Z,FALSE,general_noFeedback,1549980157.7534478,266.46442461013794,6,oko jedan i pola puta,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,NE,NE,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,2,general
2019-02-12T15:55:07Z,FALSE,general_noFeedback,1549983363.7106411,280.81591272354126,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,NE,/,NE,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,general
2019-02-12T17:03:36Z,TRUE,content_feedback,1549987472.844205,541.795307636261,8,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,-,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,13,4,content
2019-02-12T18:03:41Z,FALSE,general_noFeedback,1549991046.29241,305.14271235466003,6,oko jedan i pola puta,"više nego jednom, ali nešto manje od jedan i pola puta","više nego jednom, ali nešto manje od jedan i pola puta",NE,nemam,NE,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,4,general
2019-02-16T13:02:39Z,FALSE,content_noFeedback,1550318580.0085478,332.2387146949768,7,oko jedan i pola puta,oko jedan i pola puta,jednom cijeli tekst i preletjeti ključne dijelove,NE,ne,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,14,5,content
2019-02-16T14:06:06Z,TRUE,general_feedback,1550322388.675965,306.75664830207825,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,NE,nemam poteškoća,NE,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,2,general
2019-02-18T10:54:19Z,TRUE,general_feedback,1550483704.087685,241.52538585662842,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,NE,ne,NE,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,3,general
2019-02-18T14:04:29Z,TRUE,content_feedback,1550495092.0595806,361.51337814331055,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,-,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16,3,content
2019-02-19T11:06:52Z,FALSE,rereading,1550570829.9899604,252.70184230804443,5,tri ili više puta,oko dva i pola puta,oko dva i pola puta,NE,ne,NE,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,14,4,rereading
2019-02-19T17:07:37Z,FALSE,general_noFeedback,1550592476.802204,313.053341627121,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,jednom cijeli tekst,NE,.,NE,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,7,general
2019-02-25T10:05:16Z,FALSE,content_noFeedback,1551085541.9918792,329.72568106651306,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,nemam,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,12,4,content
2019-02-25T11:09:57Z,FALSE,content_noFeedback,1551089427.841134,334.0984568595886,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,NE,nemam poteškoća,NE,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,12,6,content
2019-02-25T12:09:40Z,FALSE,content_noFeedback,1551092993.0714664,231.30994367599487,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,ne,NE,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,9,4,content
2019-02-25T18:06:24Z,FALSE,content_noFeedback,1551114405.0677142,193.16555547714233,5,"više nego jednom, ali nešto manje od jedan i pola puta","više nego jednom, ali nešto manje od jedan i pola puta","više nego jednom, ali nešto manje od jedan i pola puta",NE,ne,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,2,content
2019-02-11T10:00:42Z,TRUE,content_feedback,1549875666.04971,328.17355012893677,7,"više nego jednom, ali nešto manje od jedan i pola puta",jednom cijeli tekst i preletjeti ključne dijelove,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,NE,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,16,4,content
2019-02-11T10:54:34Z,FALSE,rereading,1549878898.5258248,248.60865545272827,5,oko dva puta,oko dva puta,jednom cijeli tekst,NE,/,NE,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,10,6,rereading
2019-02-11T12:01:15Z,FALSE,content_noFeedback,1549882909.656096,299.79785466194153,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,ne,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,7,6,content
2019-02-11T13:01:03Z,TRUE,general_feedback,1549886481.664513,170.59428119659424,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,-,NE,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,8,7,general
2019-02-11T14:04:45Z,FALSE,general_noFeedback,1549890318.6844049,361.39793634414673,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,NE,NE,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,2,general
2019-02-11T15:01:54Z,TRUE,general_feedback,1549893730.4506483,234.99151611328125,5,jednom cijeli tekst,jednom cijeli tekst,jednom cijeli tekst,NE,NE,DA,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,6,general
2019-02-11T15:59:24Z,FALSE,general_noFeedback,1549897183.3817093,287.84199929237366,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,NEMAM,NE,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,4,general
2019-02-12T10:02:33Z,FALSE,general_noFeedback,1549962183.67214,247.76414370536804,5,"više od jedan i pola puta, ali manje od dva puta","više od jedan i pola puta, ali manje od dva puta","više nego jednom, ali nešto manje od jedan i pola puta",NE,/,NE,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,2,general
2019-02-12T10:57:31Z,FALSE,general_noFeedback,1549965488.7382646,255.24975991249084,5,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,jednom cijeli tekst,jednom cijeli tekst,NE,Nemam poteškoće,NE,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,3,general
2019-02-12T12:05:02Z,FALSE,content_noFeedback,1549969536.0669334,405.57840037345886,8,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,ne,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,3,content
2019-02-12T13:01:11Z,TRUE,general_feedback,1549972888.1782405,400.7618451118469,8,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,Nemam,NE,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,12,6,general
2019-02-12T14:03:31Z,TRUE,content_feedback,1549976636.2957833,269.1800501346588,6,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,nemam,NE,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,2,content
2019-02-12T14:57:49Z,TRUE,general_feedback,1549979902.8256514,503.2970073223114,8,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,NE,n,NE,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,8,6,general
2019-02-12T16:02:12Z,TRUE,content_feedback,1549983757.4765701,330.73973393440247,7,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,Nemam takve ili slične poteškoće,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,2,content
2019-02-12T17:02:22Z,TRUE,content_feedback,1549987368.2997797,297.86847472190857,6,jednom cijeli tekst,jednom cijeli tekst,jednom cijeli tekst,NE,ne,NE,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13,3,content
2019-02-12T18:06:36Z,TRUE,general_feedback,1549991214.9117115,170.11609196662903,5,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,jednom cijeli tekst i preletjeti ključne dijelove,NE,nemam ih,NE,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,3,general
2019-02-16T10:04:44Z,TRUE,general_feedback,1550307912.429375,188.977680683136,5,jednom cijeli tekst i preletjeti ključne dijelove,oko jedan i pola puta,jednom cijeli tekst i preletjeti ključne dijelove,NE,Nema poteškoća u čitanju.,NE,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,general
2019-02-16T11:00:22Z,TRUE,general_feedback,1550311256.2098806,574.0907771587372,8,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,jednom cijeli tekst,NE,-,NE,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,10,6,general
2019-02-16T13:12:44Z,FALSE,general_noFeedback,1550319217.5019915,582.4666380882263,8,nisam uspjela/uspio pročitati do kraja ili sam žurila/žurio da bih pročitala/pročitao,jednom cijeli tekst,jednom cijeli tekst,NE,NE,NE,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,7,7,general
